param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
entropy,7,,5,2,0.5915966386554622,0.5919003115264797,0.5926966292134831,0.581294964028777,0.6137404580152672
entropy,7,,5,10,0.5915966386554622,0.5919003115264797,0.5926966292134831,0.581294964028777,0.6137404580152672
entropy,7,,5,20,0.5896147403685092,0.5965463108320251,0.5949008498583569,0.5838150289017341,0.6094946401225115
entropy,7,,10,2,0.5838926174496645,0.5978090766823161,0.599388379204893,0.5814977973568282,0.6080246913580247
entropy,7,,10,10,0.5838926174496645,0.5978090766823161,0.599388379204893,0.5814977973568282,0.6080246913580247
entropy,7,,10,20,0.5838926174496645,0.5978090766823161,0.599388379204893,0.5814977973568282,0.6080246913580247
entropy,7,,20,2,0.594059405940594,0.6255924170616114,0.5911764705882353,0.6006006006006006,0.6269592476489029
entropy,7,,20,10,0.594059405940594,0.6255924170616114,0.5911764705882353,0.6006006006006006,0.6269592476489029
entropy,7,,20,20,0.594059405940594,0.6255924170616114,0.5911764705882353,0.6006006006006006,0.6269592476489029
entropy,7,sqrt,1,2,0.5533980582524272,0.5993975903614458,0.5631067961165048,0.5977011494252874,0.6210045662100456
entropy,7,sqrt,1,10,0.5522875816993464,0.6059701492537314,0.5631067961165048,0.5832106038291606,0.6246246246246246
entropy,7,sqrt,1,20,0.5625965996908809,0.60882800608828,0.5743145743145743,0.5986206896551725,0.5811965811965812
entropy,7,sqrt,5,2,0.5610561056105611,0.6135338345864662,0.5633423180592992,0.5996908809891809,0.6140350877192983
entropy,7,sqrt,5,10,0.5610561056105611,0.6135338345864662,0.5633423180592992,0.5996908809891809,0.6140350877192983
entropy,7,sqrt,5,20,0.5736677115987461,0.6130500758725341,0.5759312320916905,0.5986206896551725,0.58
entropy,7,sqrt,10,2,0.573170731707317,0.616822429906542,0.5622377622377622,0.6013986013986014,0.5747460087082729
entropy,7,sqrt,10,10,0.573170731707317,0.616822429906542,0.5622377622377622,0.6013986013986014,0.5747460087082729
entropy,7,sqrt,10,20,0.573170731707317,0.616822429906542,0.5622377622377622,0.6013986013986014,0.5747460087082729
entropy,7,sqrt,20,2,0.5768025078369906,0.6264705882352941,0.5352112676056338,0.6075581395348837,0.6192592592592593
entropy,7,sqrt,20,10,0.5768025078369906,0.6264705882352941,0.5352112676056338,0.6075581395348837,0.6192592592592593
entropy,7,sqrt,20,20,0.5768025078369906,0.6264705882352941,0.5352112676056338,0.6075581395348837,0.6192592592592593
entropy,7,log2,1,2,0.6034214618973561,0.5833333333333334,0.5673202614379085,0.6045197740112994,0.6348733233979136
entropy,7,log2,1,10,0.5900621118012422,0.6015037593984962,0.5846599131693199,0.6062322946175638,0.6397608370702541
entropy,7,log2,1,20,0.5993690851735016,0.6057971014492753,0.5959885386819485,0.6059701492537314,0.6128500823723229
entropy,7,log2,5,2,0.5529801324503312,0.6184615384615385,0.5882352941176471,0.5868263473053892,0.6309341500765697
entropy,7,log2,5,10,0.5529801324503312,0.6184615384615385,0.5882352941176471,0.5868263473053892,0.6309341500765697
