param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,param_classifier__reg_lambda,param_classifier__subsample,param_classifier__subsample_freq,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.01,5,200,31,1,0.8,1,0.6116207951070336,0.6444780635400907,0.6112759643916914,0.6220238095238095,0.6614664586583463
0.01,5,200,31,3,0.4,1,0.6012269938650306,0.6555891238670695,0.6190476190476191,0.6158445440956651,0.6635220125786163
0.01,5,200,31,3,0.6,1,0.6069802731411229,0.6453576864535768,0.612184249628529,0.6242603550295858,0.658307210031348
0.01,5,200,31,3,0.8,1,0.60882800608828,0.6444780635400907,0.6103703703703703,0.6233382570162481,0.6645962732919255
0.01,5,200,31,7,0.4,1,0.6024464831804281,0.6515837104072398,0.6131386861313869,0.6208955223880597,0.6635514018691588
0.01,5,200,31,7,0.6,1,0.6036036036036037,0.6504559270516718,0.6124260355029586,0.6220238095238095,0.65527950310559
0.01,5,200,31,7,0.8,1,0.6054216867469879,0.6455505279034691,0.6162962962962963,0.6201780415430267,0.6625386996904025
0.01,5,300,7,1,0.4,1,0.6072507552870091,0.6456456456456456,0.6031746031746031,0.6260869565217392,0.6614420062695925
0.01,5,300,7,1,0.6,1,0.6066066066066066,0.6437125748502994,0.6054519368723099,0.6213872832369942,0.6574500768049155
0.01,5,300,7,1,0.8,1,0.6056971514242878,0.643609022556391,0.6037195994277539,0.6213872832369942,0.6625386996904025
0.01,5,300,7,3,0.4,1,0.6042296072507553,0.649624060150376,0.6071942446043166,0.6259097525473072,0.654320987654321
0.01,5,300,7,3,0.6,1,0.6086956521739131,0.6437125748502994,0.6071942446043166,0.6233766233766234,0.6574500768049155
0.01,5,300,7,3,0.8,1,0.6096096096096096,0.641566265060241,0.6057142857142858,0.6206896551724138,0.6584234930448223
0.01,5,300,7,7,0.4,1,0.6033182503770739,0.649624060150376,0.6100719424460431,0.6308139534883721,0.6563944530046225
0.01,5,300,7,7,0.6,1,0.6093514328808446,0.6447761194029851,0.6140602582496413,0.6233766233766234,0.6604938271604939
0.01,5,300,7,7,0.8,1,0.6096096096096096,0.637593984962406,0.6105563480741797,0.6213872832369942,0.6605222734254992
0.01,5,300,15,1,0.4,1,0.600924499229584,0.6512345679012346,0.6106194690265486,0.6110283159463488,0.6614420062695925
