param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__subsample,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.8,0.05,3,3,400,0.4,0.6191950464396285,0.6550632911392406,0.5945945945945946,0.6054216867469879,0.658267716535433
0.8,0.05,3,3,400,0.6,0.6110236220472441,0.6614420062695925,0.6083086053412463,0.6071428571428571,0.6531881804043546
0.8,0.05,3,3,400,0.8,0.6028257456828885,0.6614173228346457,0.6020864381520119,0.6050670640834576,0.6614664586583463
0.8,0.05,3,5,100,0.4,0.60790273556231,0.6596385542168675,0.6109510086455331,0.622478386167147,0.6625954198473283
0.8,0.05,3,5,100,0.6,0.6056971514242878,0.6537890044576523,0.6028571428571429,0.6095791001451378,0.6614664586583463
0.8,0.05,3,5,100,0.8,0.5958083832335329,0.6546546546546547,0.5977011494252874,0.6202898550724638,0.6625386996904025
0.8,0.05,3,5,200,0.4,0.6076335877862595,0.6554878048780488,0.6103703703703703,0.6092124814264487,0.6656346749226006
0.8,0.05,3,5,200,0.6,0.6118012422360248,0.6575342465753424,0.6133720930232558,0.6183431952662722,0.6595092024539877
0.8,0.05,3,5,200,0.8,0.6058732612055642,0.6452599388379205,0.6020558002936858,0.624633431085044,0.6595419847328244
0.8,0.05,3,5,300,0.4,0.6058732612055642,0.6563467492260062,0.6008836524300442,0.6090909090909091,0.6625194401244168
0.8,0.05,3,5,300,0.6,0.6089644513137558,0.6573643410852713,0.6035502958579881,0.6071428571428571,0.6635658914728683
0.8,0.05,3,5,300,0.8,0.6068111455108359,0.6552262090483619,0.5973254086181278,0.6181277860326895,0.6573208722741433
0.8,0.05,3,5,400,0.4,0.6146645865834633,0.6562009419152276,0.5973254086181278,0.599388379204893,0.6614664586583463
0.8,0.05,3,5,400,0.6,0.6115444617784711,0.6604068857589984,0.608955223880597,0.599406528189911,0.6572327044025157
0.8,0.05,3,5,400,0.8,0.6037735849056604,0.6624605678233438,0.5970149253731343,0.6050670640834576,0.664576802507837
0.8,0.05,5,1,100,0.4,0.6151419558359621,0.6581875993640699,0.6081694402420574,0.6051437216338881,0.6601941747572816
0.8,0.05,5,1,100,0.6,0.6089743589743589,0.6530612244897959,0.5990922844175491,0.6097560975609756,0.6476190476190476
0.8,0.05,5,1,100,0.8,0.6019108280254777,0.6509433962264151,0.591044776119403,0.6114457831325302,0.6570972886762361
0.8,0.05,5,1,200,0.4,0.6074313408723748,0.6601626016260163,0.6165884194053208,0.6151419558359621,0.642504118616145
0.8,0.05,5,1,200,0.6,0.605475040257649,0.6452648475120385,0.609642301710731,0.6168521462639109,0.6464
0.8,0.05,5,1,200,0.8,0.6055646481178396,0.656957928802589,0.5975232198142415,0.6089644513137558,0.6504065040650406
0.8,0.05,5,1,300,0.4,0.6219312602291326,0.6567656765676567,0.6158730158730159,0.6146341463414634,0.631578947368421
0.8,0.05,5,1,300,0.6,0.6,0.6567656765676567,0.5981012658227848,0.6035889070146819,0.6461038961038961
0.8,0.05,5,1,300,0.8,0.594059405940594,0.6622516556291391,0.6037735849056604,0.6134185303514377,0.6447368421052632
0.8,0.05,5,1,400,0.4,0.6037099494097807,0.6610738255033557,0.6064516129032258,0.5980392156862745,0.6319327731092437
0.8,0.05,5,1,400,0.6,0.5943238731218697,0.6441821247892074,0.5964343598055105,0.5980392156862745,0.6291390728476821
